Handle,Title,Body (HTML)<br/>,Vendor,Type,Tags,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src
albert-vest-tee,Albert Vest Tee,"<p>Classic Slim fit crew neck tee.<br/>
Bound neck and deep ribbed cuffed sleeves.<br/>
100% cotton open end yarn jersey fabric.<br/>
Heavily garment washed for softness.<br/>
Made in China.</p>",Three Over One,T Shirt,Mens,Color,White,Size,S,,,,0,,1,deny,manual,59,,TRUE,TRUE,http://dl.dropbox.com/u/5929324/mens/243_Albert_Vest_Tee_Grey_Marl_Front.jpg
albert-vest-tee,,,,,,Color,White,Size,M,,,,0,,1,deny,manual,59,,TRUE,TRUE,http://dl.dropbox.com/u/5929324/mens/243_Albert_Vest_Tee_Grey_Marl_Front.jpg
albert-vest-tee,,,,,,Color,White,Size,L,,,,0,,1,deny,manual,59,,TRUE,TRUE,http://dl.dropbox.com/u/5929324/mens/239_Albert_Vest_Tee_White_Front.jpg
albert-vest-tee,,,,,,Color,White,Size,XL,,,,0,,1,deny,manual,59,,TRUE,TRUE,http://dl.dropbox.com/u/5929324/mens/239_Albert_Vest_Tee_White_Front.jpg
albert-vest-tee,,,,,,Color,White,Size,XXL,,,,0,,1,deny,manual,59,,TRUE,TRUE,http://dl.dropbox.com/u/5929324/mens/240_Albert_Vest_Tee_White_Back.jpg
albert-vest-tee,,,,,,Color,Navy,Size,S,,,,0,,1,deny,manual,59,,TRUE,TRUE,http://dl.dropbox.com/u/5929324/mens/241_Albert_Vest_Tee_Navy_Front.jpg
albert-vest-tee,,,,,,Color,Navy,Size,M,,,,0,,1,deny,manual,59,,TRUE,TRUE,
albert-vest-tee,,,,,,Color,Navy,Size,L,,,,0,,1,deny,manual,59,,TRUE,TRUE,
albert-vest-tee,,,,,,Color,Navy,Size,XL,,,,0,,1,deny,manual,59,,TRUE,TRUE,
albert-vest-tee,,,,,,Color,Navy,Size,XXL,,,,0,,1,deny,manual,59,,TRUE,TRUE,
albert-vest-tee,,,,,,Color,Grey Marl,Size,S,,,,0,,1,deny,manual,59,,TRUE,TRUE,
albert-vest-tee,,,,,,Color,Grey Marl,Size,M,,,,0,,1,deny,manual,59,,TRUE,TRUE,
albert-vest-tee,,,,,,Color,Grey Marl,Size,L,,,,0,,1,deny,manual,59,,TRUE,TRUE,
albert-vest-tee,,,,,,Color,Grey Marl,Size,XL,,,,0,,1,deny,manual,59,,TRUE,TRUE,
albert-vest-tee,,,,,,Color,Grey Marl,Size,XXL,,,,0,,1,deny,manual,59,,TRUE,TRUE,
benjamin-trouser,Benjamin Trouser,,Three Over One,Trouser,Mens,Color,Default Title,,,,,,0,,1,deny,manual,0,,TRUE,TRUE,
bernice-under-singlet,Bernice Under Singlet,"<p>Classic mens style singlet.<br/>
Bound neck and armhole<br/>
100% cotton open end yarn jersey fabric<br/>
Heavily garment washed for softness<br/>
Made in China</p>",Three Over One,Top,Womens,Color,White,Size,XS,,,,0,,1,deny,manual,59,,TRUE,TRUE,http://dl.dropbox.com/u/5929324/mens/321_Bernice_Under_Singlet_Navy_Front.jpg
bernice-under-singlet,,,,,,Color,White,Size,S,,,,0,,1,deny,manual,59,,TRUE,TRUE,http://dl.dropbox.com/u/5929324/mens/322_Bernice_Under_Singlet_Navy_Back.jpg
bernice-under-singlet,,,,,,Color,White,Size,M,,,,0,,1,deny,manual,59,,TRUE,TRUE,http://dl.dropbox.com/u/5929324/mens/323_Bernice_Under_Singlet_White_Front.jpg
bernice-under-singlet,,,,,,Color,White,Size,L,,,,0,,1,deny,manual,59,,TRUE,TRUE,http://dl.dropbox.com/u/5929324/mens/324_Bernice_Under_Singlet_White_Back.jpg
bernice-under-singlet,,,,,,Color,Navy,Size,XS,,,,0,,1,deny,manual,59,,TRUE,TRUE,
bernice-under-singlet,,,,,,Color,Navy,Size,S,,,,0,,1,deny,manual,59,,TRUE,TRUE,
bernice-under-singlet,,,,,,Color,Navy,Size,M,,,,0,,1,deny,manual,59,,TRUE,TRUE,
bernice-under-singlet,,,,,,Color,Navy,Size,L,,,,0,,1,deny,manual,59,,TRUE,TRUE,
betty-half-placket-shirt,Betty Half Placket Shirt,,Three Over One,Shirt,Womens,Color,Default Title,,,,,,0,,1,deny,manual,0,,TRUE,TRUE,
bobby-half-placket-shirt,Bobby Half Placket Shirt,"<p>Classic Slim fit crew neck tee.<br/>
Bound neck and deep ribbed cuffed sleeves.<br/>
100% cotton open end yarn jersey fabric.<br/>
Heavily garment washed for softness.<br/>
Made in China.</p>",Three Over One,Shirt,Mens,Color,Navy Oxford,Size,S,,,,0,,1,deny,manual,239,,TRUE,TRUE,http://dl.dropbox.com/u/5929324/mens/250_Bobby_Half_Placket_Shirt_Navy_Oxford_Front.jpg
bobby-half-placket-shirt,,,,,,Color,Navy Oxford,Size,M,,,,0,,1,deny,manual,239,,TRUE,TRUE,http://dl.dropbox.com/u/5929324/mens/250_Bobby_Half_Placket_Shirt_Navy_Oxford_Front.jpg
bobby-half-placket-shirt,,,,,,Color,Navy Oxford,Size,L,,,,0,,1,deny,manual,239,,TRUE,TRUE,http://dl.dropbox.com/u/5929324/mens/254_Bobby_Half_Placket_Shirt_Navy_Oxford_Stripe_Front.jpg
bobby-half-placket-shirt,,,,,,Color,Navy Oxford,Size,XL,,,,0,,1,deny,manual,239,,TRUE,TRUE,http://dl.dropbox.com/u/5929324/mens/255_Bobby_Half_Placket_Shirt_Navy_Oxford_Stripe_Back.jpg
bobby-half-placket-shirt,,,,,,Color,Navy Oxford,Size,XXL,,,,0,,1,deny,manual,239,,TRUE,TRUE,
bobby-half-placket-shirt,,,,,,Color,Navy Oxford Stripe,Size,S,,,,0,,1,deny,manual,239,,TRUE,TRUE,
bobby-half-placket-shirt,,,,,,Color,Navy Oxford Stripe,Size,M,,,,0,,1,deny,manual,239,,TRUE,TRUE,
bobby-half-placket-shirt,,,,,,Color,Navy Oxford Stripe,Size,L,,,,0,,1,deny,manual,239,,TRUE,TRUE,
bobby-half-placket-shirt,,,,,,Color,Navy Oxford Stripe,Size,XL,,,,0,,1,deny,manual,239,,TRUE,TRUE,
bobby-half-placket-shirt,,,,,,Color,Navy Oxford Stripe,Size,XXL,,,,0,,1,deny,manual,239,,TRUE,TRUE,
chester-undershirt,Chester Undershirt,"<p>Slim fit crew neck top.<br/>
Raw edge hem, deep cuffs and woven fabric back hanger<br/>
loop and inner neck lining.<br/>
100% garment<br/>
dyed waffle mid weight jersey fabric.<br/>
Heavily garment washed for softness.<br/>
Made in China.</p>",Three Over One,Undershirt,Mens,Color,Navy,Size,S,,,,0,,1,deny,manual,99,,TRUE,TRUE,http://dl.dropbox.com/u/5929324/mens/224_Chester_Under_Shirt_Navy__Front.jpg
chester-undershirt,,,,,,Color,Navy,Size,M,,,,0,,1,deny,manual,99,,TRUE,TRUE,http://dl.dropbox.com/u/5929324/mens/225_Chester_Under_Shirt_Navy__Back.jpg
chester-undershirt,,,,,,Color,Navy,Size,L,,,,0,,1,deny,manual,99,,TRUE,TRUE,http://dl.dropbox.com/u/5929324/mens/226_Chester_Under_Shirt_Navy__Front.jpg
chester-undershirt,,,,,,Color,Navy,Size,XL,,,,0,,1,deny,manual,99,,TRUE,TRUE,http://dl.dropbox.com/u/5929324/mens/227_Chester_Under_Shirt_Navy__Back.jpg
chester-undershirt,,,,,,Color,Navy,Size,XXL,,,,0,,1,deny,manual,99,,TRUE,TRUE,
chester-undershirt,,,,,,Color,Off White,Size,S,,,,0,,1,deny,manual,99,,TRUE,TRUE,
chester-undershirt,,,,,,Color,Off White,Size,M,,,,0,,1,deny,manual,99,,TRUE,TRUE,
chester-undershirt,,,,,,Color,Off White,Size,L,,,,0,,1,deny,manual,99,,TRUE,TRUE,
chester-undershirt,,,,,,Color,Off White,Size,XL,,,,0,,1,deny,manual,99,,TRUE,TRUE,
chester-undershirt,,,,,,Color,Off White,Size,XXL,,,,0,,1,deny,manual,99,,TRUE,TRUE,
eugene-under-shirt,Eugene Under Shirt,"<p>Slim fit crew neck top.<br/>
Raw edge hem, deep cuffs and woven fabric back hanger loop neck lining<br/>
100% ribbed mid weight jersey fabric<br/>
Heavily garment washed for softness<br/>
Made in China</p>",Three Over One,Undershirt,Mens,Color,Navy,Size,S,,,,0,,1,deny,manual,99,,TRUE,TRUE,http://dl.dropbox.com/u/5929324/mens/219_Eugene_Under_Shirt_Navy_Front.jpg
eugene-under-shirt,,,,,,Color,Navy,Size,M,,,,0,,1,deny,manual,99,,TRUE,TRUE,http://dl.dropbox.com/u/5929324/mens/220_Eugene_Under_Shirt_Navy_Back.jpg
eugene-under-shirt,,,,,,Color,Navy,Size,L,,,,0,,1,deny,manual,99,,TRUE,TRUE,
eugene-under-shirt,,,,,,Color,Navy,Size,XL,,,,0,,1,deny,manual,99,,TRUE,TRUE,
eugene-under-shirt,,,,,,Color,Navy,Size,XXL,,,,0,,1,deny,manual,99,,TRUE,TRUE,
eugene-under-shirt-stripe,Eugene Stripe Under Shirt,"<p>Slim fit crew neck top.<br/>
Raw edge hem, deep cuffs and woven fabric back hanger loop neck lining<br/>
100% ribbed mid weight jersey fabric<br/>
Heavily garment washed for softness<br/>
Made in China</p>",Three Over One,Undershirt,Mens,Color,Off White/Navy Stripe,Size,S,,,,0,,1,deny,manual,99,,TRUE,TRUE,http://dl.dropbox.com/u/5929324/mens/221_Eugene_Under_Shirt_Off_White_and_Navy_Stripe_Front.jpg
eugene-under-shirt-stripe,,,,,,Color,Off White/Navy Stripe,Size,M,,,,0,,1,deny,manual,99,,TRUE,TRUE,http://dl.dropbox.com/u/5929324/mens/222_Eugene_Under_Shirt_Off_White_and_Navy_Stripe_Back.jpg
eugene-under-shirt-stripe,,,,,,Color,Off White/Navy Stripe,Size,L,,,,0,,1,deny,manual,99,,TRUE,TRUE,
eugene-under-shirt-stripe,,,,,,Color,Off White/Navy Stripe,Size,XL,,,,0,,1,deny,manual,99,,TRUE,TRUE,
eugene-under-shirt-stripe,,,,,,Color,Off White/Navy Stripe,Size,XXL,,,,0,,1,deny,manual,99,,TRUE,TRUE,
evelyn-collarless-shirt,Evelyn Collarless Shirt,,Three Over One,Shirt,Womens,Color,Default Title,,,,,,0,,1,deny,manual,0,,TRUE,TRUE,
floyd-trouser,Floyd Trouser,"<p>Classic Slim fit crew neck tee.<br/>
Bound neck and deep ribbed cuffed sleeves.<br/>
100% cotton open end yarn jersey fabric.<br/>
Heavily garment washed for softness.<br/>
Made in China.</p>",Three Over One,Trouser,Mens,Color,Navy,Size,30,,,,0,,1,deny,manual,219,,TRUE,TRUE,http://dl.dropbox.com/u/5929324/mens/106_Floyd_Trouser_Navy_Front.jpg
floyd-trouser,,,,,,Color,Navy,Size,32,,,,0,,1,deny,manual,219,,TRUE,TRUE,http://dl.dropbox.com/u/5929324/mens/107_Floyd_Trouser_Navy_Back.jpg
floyd-trouser,,,,,,Color,Navy,Size,34,,,,0,,1,deny,manual,219,,TRUE,TRUE,http://dl.dropbox.com/u/5929324/mens/109_Floyd_Trouser_Green_Front.jpg
floyd-trouser,,,,,,Color,Navy,Size,36,,,,0,,1,deny,manual,219,,TRUE,TRUE,http://dl.dropbox.com/u/5929324/mens/110_Floyd_Trouser_Green_Back.jpg
floyd-trouser,,,,,,Color,Navy,Size,38,,,,0,,1,deny,manual,219,,TRUE,TRUE,
floyd-trouser,,,,,,Color,Green,Size,30,,,,0,,1,deny,manual,219,,TRUE,TRUE,
floyd-trouser,,,,,,Color,Green,Size,32,,,,0,,1,deny,manual,219,,TRUE,TRUE,
floyd-trouser,,,,,,Color,Green,Size,34,,,,0,,1,deny,manual,219,,TRUE,TRUE,
floyd-trouser,,,,,,Color,Green,Size,36,,,,0,,1,deny,manual,219,,TRUE,TRUE,
floyd-trouser,,,,,,Color,Green,Size,38,,,,0,,1,deny,manual,219,,TRUE,TRUE,
francis-athletic-sweat,Francis Athletic Sweat,,Three Over One,Sweatshirt,Mens,Color,Default Title,,,,,,0,,1,deny,manual,0,,TRUE,TRUE,
george-blazer,George Blazer,"<p>Slim fit cropped length jacket.<br/>
Two buttons at the front and working buttons at the cuff. A single chest patch pocket and two lower patch pockets. Fully lined in cotton twill fabric <br/>
100% Japanese mid weight cotton twill<br/>
Real horn buttons with a sanded finish<br/>
Heavily garment washed for softness<br/>
Made in Australia</p>",Three Over One,Jacket,Mens,Color,Navy Corduroy,Size,S,,,,0,,1,deny,manual,349,,TRUE,TRUE,http://dl.dropbox.com/u/5929324/mens/086_George_Blazer_Navy_Cord_Front.jpg
george-blazer,,,,,,Color,Navy Corduroy,Size,M,,,,0,,1,deny,manual,349,,TRUE,TRUE,http://dl.dropbox.com/u/5929324/mens/088_George_Blazer_Navy_Cord_Back.jpg
george-blazer,,,,,,Color,Navy Corduroy,Size,L,,,,0,,1,deny,manual,349,,TRUE,TRUE,http://dl.dropbox.com/u/5929324/mens/089_George_Blazer_Navy_Twill_Front.jpg
george-blazer,,,,,,Color,Navy Corduroy,Size,XL,,,,0,,1,deny,manual,349,,TRUE,TRUE,http://dl.dropbox.com/u/5929324/mens/092_George_Blazer_Navy_Twill_Back.jpg
george-blazer,,,,,,Color,Navy Corduroy,Size,XXL,,,,0,,1,deny,manual,349,,TRUE,TRUE,
george-blazer,,,,,,Color,Navy Twill,Size,S,,,,0,,1,deny,manual,319,,TRUE,TRUE,
george-blazer,,,,,,Color,Navy Twill,Size,M,,,,0,,1,deny,manual,319,,TRUE,TRUE,
george-blazer,,,,,,Color,Navy Twill,Size,L,,,,0,,1,deny,manual,319,,TRUE,TRUE,
george-blazer,,,,,,Color,Navy Twill,Size,XL,,,,0,,1,deny,manual,319,,TRUE,TRUE,
george-blazer,,,,,,Color,Navy Twill,Size,XXL,,,,0,,1,deny,manual,319,,TRUE,TRUE,
gerald-trench-coat,Gerald Trench Coat,"<p>Slim fit coat.<br/>
Two lower pockets and belted waist. Button front with epaulettes and cuff adjusters. Lined in cotton twill fabric<br/>
100% Japanese heavy weight reverse twill fabric<br/>
Real wooden buttons<br/>
Heavily garment washed for softness<br/>
Made in Australia</p>",Three Over One,Coat,Mens,Color,Navy,Size,S,,,,0,,1,deny,manual,239,,TRUE,TRUE,http://dl.dropbox.com/u/5929324/mens/051_Gerald_Trench_Coat_Navy_Front.jpg
gerald-trench-coat,,,,,,Color,Navy,Size,M,,,,0,,1,deny,manual,239,,TRUE,TRUE,http://dl.dropbox.com/u/5929324/mens/055_Gerald_Trench_Coat_Navy_Back.jpg
gerald-trench-coat,,,,,,Color,Navy,Size,L,,,,0,,1,deny,manual,239,,TRUE,TRUE
