Handle,Title,Body (HTML),Vendor,Type,Tags,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src
albert-vest-tee,Albert Vest Tee,"<p>Classic Slim fit crew neck tee.</p>
<p><span>Bound neck and deep ribbed cuffed sleeves</span></p>
<p><span>100% cotton open end yarn jersey fabric</span></p>
<p><span>Heavily garment washed for softness</span></p>
<p><span>Made in China</span></p>",Three Over One,T Shirt,,Color,White,Size,S,,,,0,,1,deny,manual,59,,TRUE,TRUE,
albert-vest-tee,,,,,,Color,White,Size,M,,,,0,,1,deny,manual,59,,TRUE,TRUE,
albert-vest-tee,,,,,,Color,White,Size,L,,,,0,,1,deny,manual,59,,TRUE,TRUE,
albert-vest-tee,,,,,,Color,White,Size,XL,,,,0,,1,deny,manual,59,,TRUE,TRUE,
albert-vest-tee,,,,,,Color,White,Size,XXL,,,,0,,1,deny,manual,59,,TRUE,TRUE,
albert-vest-tee,,,,,,Color,Navy,Size,S,,,,0,,1,deny,manual,59,,TRUE,TRUE,
albert-vest-tee,,,,,,Color,Navy,Size,M,,,,0,,1,deny,manual,59,,TRUE,TRUE,
albert-vest-tee,,,,,,Color,Navy,Size,L,,,,0,,1,deny,manual,59,,TRUE,TRUE,
albert-vest-tee,,,,,,Color,Navy,Size,XL,,,,0,,1,deny,manual,59,,TRUE,TRUE,
albert-vest-tee,,,,,,Color,Navy,Size,XXL,,,,0,,1,deny,manual,59,,TRUE,TRUE,
albert-vest-tee,,,,,,Color,Grey Marl,Size,S,,,,0,,1,deny,manual,59,,TRUE,TRUE,
albert-vest-tee,,,,,,Color,Grey Marl,Size,M,,,,0,,1,deny,manual,59,,TRUE,TRUE,
albert-vest-tee,,,,,,Color,Grey Marl,Size,L,,,,0,,1,deny,manual,59,,TRUE,TRUE,
albert-vest-tee,,,,,,Color,Grey Marl,Size,XL,,,,0,,1,deny,manual,59,,TRUE,TRUE,
albert-vest-tee,,,,,,Color,Grey Marl,Size,XXL,,,,0,,1,deny,manual,59,,TRUE,TRUE,
benjamin-trouser,Benjamin Trouser,,Three Over One,Trouser,Men's,Color,Default Title,,,,,,0,,1,deny,manual,0,,TRUE,TRUE,
betty-half-placket-shirt,Betty Half Placket Shirt,,Three Over One,Shirt,,Color,Default Title,,,,,,0,,1,deny,manual,0,,TRUE,TRUE,
bobby-half-placket-shirt,Bobby Half Placket Shirt,,Three Over One,Shirt,,Color,Navy Oxford,Size,S,,,,0,,1,deny,manual,239,,TRUE,TRUE,
bobby-half-placket-shirt,Bobby Half Placket Shirt,,Three Over One,Shirt,,Color,Navy Oxford,Size,M,,,,0,,1,deny,manual,239,,TRUE,TRUE,
bobby-half-placket-shirt,Bobby Half Placket Shirt,,Three Over One,Shirt,,Color,Navy Oxford,Size,L,,,,0,,1,deny,manual,239,,TRUE,TRUE,
bobby-half-placket-shirt,Bobby Half Placket Shirt,,Three Over One,Shirt,,Color,Navy Oxford,Size,XL,,,,0,,1,deny,manual,239,,TRUE,TRUE,
bobby-half-placket-shirt,Bobby Half Placket Shirt,,Three Over One,Shirt,,Color,Navy Oxford,Size,XXL,,,,0,,1,deny,manual,239,,TRUE,TRUE,
bobby-half-placket-shirt,Bobby Half Placket Shirt,,Three Over One,Shirt,,Color,Navy Oxford Stripe,Size,S,,,,0,,1,deny,manual,239,,TRUE,TRUE,
bobby-half-placket-shirt,Bobby Half Placket Shirt,,Three Over One,Shirt,,Color,Navy Oxford Stripe,Size,M,,,,0,,1,deny,manual,239,,TRUE,TRUE,
bobby-half-placket-shirt,Bobby Half Placket Shirt,,Three Over One,Shirt,,Color,Navy Oxford Stripe,Size,L,,,,0,,1,deny,manual,239,,TRUE,TRUE,
bobby-half-placket-shirt,Bobby Half Placket Shirt,,Three Over One,Shirt,,Color,Navy Oxford Stripe,Size,XL,,,,0,,1,deny,manual,239,,TRUE,TRUE,
bobby-half-placket-shirt,Bobby Half Placket Shirt,,Three Over One,Shirt,,Color,Navy Oxford Stripe,Size,XXL,,,,0,,1,deny,manual,239,,TRUE,TRUE,
chester-undershirt,Chester Undershirt,"<p>Slim fit crew neck top.</p>
<p><span>Raw edge hem, deep cuffs and woven fabric back hanger
loop and inner neck lining</span></p>
<p><span>100% <span>&nbsp;</span>garment
dyed waffle mid weight jersey fabric</span></p>
<p><span>Heavily garment washed for softness</span></p>
<p><span>Made in China</span>&nbsp;</p>
",Three Over One,Undershirt,,Color,Navy,Size,S,,,,0,,1,deny,manual,99,,TRUE,TRUE,http://cdn.shopify.com/s/files/1/0152/2551/products/Threeoverone-fl--224_Chester_Under_Shirt_Navy_Front.jpg?732
chester-undershirt,,,,,,Color,Navy,Size,M,,,,0,,1,deny,manual,99,,TRUE,TRUE,http://cdn.shopify.com/s/files/1/0152/2551/products/Threeoverone-fl--225_Chester_Under_Shirt_Navy_Back.jpg?732
chester-undershirt,,,,,,Color,Navy,Size,L,,,,0,,1,deny,manual,99,,TRUE,TRUE,http://cdn.shopify.com/s/files/1/0152/2551/products/Threeoverone-fl--226_Chester_Under_Shirt_Navy_Front.jpg?732
chester-undershirt,,,,,,Color,Navy,Size,XL,,,,0,,1,deny,manual,99,,TRUE,TRUE,http://cdn.shopify.com/s/files/1/0152/2551/products/Threeoverone-fl--227_Chester_Under_Shirt_Navy_Back.jpg?732
chester-undershirt,,,,,,Color,Navy,Size,XXL,,,,0,,1,deny,manual,99,,TRUE,TRUE,
chester-undershirt,,,,,,Color,Off White,Size,S,,,,0,,1,deny,manual,99,,TRUE,TRUE,
chester-undershirt,,,,,,Color,Off White,Size,M,,,,0,,1,deny,manual,99,,TRUE,TRUE,
chester-undershirt,,,,,,Color,Off White,Size,L,,,,0,,1,deny,manual,99,,TRUE,TRUE,
chester-undershirt,,,,,,Color,Off White,Size,XL,,,,0,,1,deny,manual,99,,TRUE,TRUE,
chester-undershirt,,,,,,Color,Off White,Size,XXL,,,,0,,1,deny,manual,99,,TRUE,TRUE,
evelyn-collarless-shirt,Evelyn Collarless Shirt,,Three Over One,Shirt,,Color,,Size,,,,,0,,1,deny,manual,0,,TRUE,TRUE,
floyd-trouser,Floyd Trouser,,Three Over One,Trouser,,Color,Navy,Size,30,,,,0,,1,deny,manual,219,,TRUE,TRUE,http://cdn.shopify.com/s/files/1/0152/2551/products/Threeoverone-fl--106_Floyd_Trouser_Navy_Front.jpg?732
floyd-trouser,Floyd Trouser,,Three Over One,Trouser,,Color,Navy,Size,32,,,,0,,1,deny,manual,219,,TRUE,TRUE,http://cdn.shopify.com/s/files/1/0152/2551/products/Threeoverone-fl--107_Floyd_Trouser_Navy_Back.jpg?732
floyd-trouser,Floyd Trouser,,Three Over One,Trouser,,Color,Navy,Size,34,,,,0,,1,deny,manual,219,,TRUE,TRUE,http://cdn.shopify.com/s/files/1/0152/2551/products/Threeoverone-fl--109_Floyd_Trouser_Green_Front.jpg?732
floyd-trouser,Floyd Trouser,,Three Over One,Trouser,,Color,Navy,Size,36,,,,0,,1,deny,manual,219,,TRUE,TRUE,http://cdn.shopify.com/s/files/1/0152/2551/products/Threeoverone-fl--110_Floyd_Trouser_Green_Back.jpg?732
